5000,Riverdale,,,40,no,30735,NULL
5001,Riverdale,,,40,no,30735,NULL
5002,Riverdale,,,40,no,41940,NULL
5003,Riverdale,,,40,no,41120,NULL
5004,Riverdale,,,40,no,41120,NULL
5005,South Ogden,,,35,no,8900,NULL
5006,Ogden/South Ogden,,,40,no,26085,NULL
5007,South Ogden,,,40,no,30735,NULL
5008,Riverdale,,,35,no,30735,NULL
5009,Riverdale,,,35,no,30735,NULL
5010,Ogden,,,40,no,23580,NULL
5011,Ogden,,,40,yes,21255,NULL
5012,Ogden/South Ogden,,,40,no,16195,NULL
5013,Ogden,,,35,no,26835,NULL
5014,Ogden,,,40,no,27355,NULL
5015,Ogden,,,40,no,27355,NULL
5016,Ogden,,,40,no,23580,NULL
5017,Ogden,,,35,no,26835,NULL
5018,Ogden,,,35,no,26835,NULL
5019,Ogden,,,35,no,26835,NULL
5020,Riverdale,,,40,no,30735,NULL
5021,Ogden,,,35,no,14430,NULL
5022,Ogden,x,,35,no,14430,NULL
5023,Ogden,x,,35,no,14430,NULL
5024,Ogden,x,,35,no,26835,NULL
5025,Ogden,,,45,yes,16725,NULL
5026,Riverdale/Roy,,,45,no,41120,NULL
5027,Ogden,,,35,no,26835,NULL
5028,Ogden,,,35,no,28335,NULL
5029,Ogden,,,35,no,28335,NULL
5030,Ogden,,,40,yes,28355,NULL
5031,Ogden,,,40,no,28355,NULL
5032,Ogden,,,40,no,28355,NULL
5033,West Haven,,,50,no,18660,NULL
5034,Sunset,,,45,no,21380,NULL
5035,Ogden/Harrisville,,,45,no,8800,NULL
5036,Layton,,,55,,,NULL
5037,North Ogden,,,50,no,21230,NULL
5038,Ogden,,,20,,,NULL
5039,Ogden,,,35,no,7935,NULL
5040,Ogden,,,50,no,28960,NULL
5041,Ogden,,,50,no,28960,NULL
5042,Ogden,,,40,yes,30885,NULL
5043,Ogden,,,40,no,22430,NULL
5044,Ogden,,,40,no,22430,NULL
5045,Ogden,,,45,no,22905,NULL
5046,Ogden,,,40,no,24305,NULL
5047,Ogden,,,40,no,24305,NULL
5048,Ogden,,,40,no,24305,NULL
5049,Ogden,,,40,no,26585,NULL
5050,Ogden,,,40,no,26585,NULL
5051,Ogden,,,40,no,26365,NULL
5052,Ogden,,,40,no,26365,NULL
5053,Ogden,,,40,no,32440,NULL
5054,Ogden,,,40,no,32440,NULL
5055,Ogden,,,40,no,32440,NULL
5056,Ogden,,,40,no,32440,NULL
5057,Ogden/South Ogden,,,50,no,31835,NULL
5058,Ogden,,,30,no,14760,NULL
5059,Ogden/Harrisville,,,50,no,23590,NULL
5060,North Ogden/Weber County,,,50,no,22830,NULL
5061,North Ogden,,,50,no,22410,NULL
5062,North Ogden,,,50,no,22410,NULL
5063,Ogden,,,40,no,17115,NULL
5064,Ogden,,,40,no,22095,NULL
5066,Ogden,,,40,no,20960,NULL
5067,Ogden,,,35,no,10140,NULL
5068,Ogden,,,30,no,8405,NULL
5069,Ogden,,,35,no,10140,NULL
5070,Ogden,,,30,no,8405,NULL
5071,Ogden,,,40,no,20960,NULL
5072,Ogden,,,40,no,20960,NULL
5073,Ogden,x,,40,yes,26085,NULL
5074,Ogden/South Ogden,,,40,yes,24105,NULL
5075,South Ogden,,,40,no,24105,NULL
5076,South Weber,,,45,no,,NULL
5077,South Ogden/Washington Terrace,,,50,,24105,NULL
5078,South Ogden/Washington Terrace,,,50,no,24105,NULL
5079,South Ogden/Washington Terrace,,,50,no,24105,NULL
5080,South Ogden/Washington Terrace,,,50,no,23090,NULL
5081,South Ogden,,,50,no,23090,NULL
5082,South Ogden,,,55,no,23090,NULL
5083,South Ogden,,,55,no,23090,NULL
5084,Roy,,,45,no,36620,NULL
5085,Roy,,,35,no,30915,NULL
5086,Roy,,,35,no,30915,NULL
5087,Roy,,,45,no,36620,NULL
5088,Roy,,,45,yes,23900,NULL
5089,Roy,,,45,no,23900,NULL
5090,Sunset,,,45,no,23900,NULL
5091,Sunset,,,45,no,23900,NULL
5092,Roy,,,45,no,36620,NULL
5093,Roy,,,45,no,23220,NULL
5094,Roy,,,45,no,23220,NULL
5095,Roy,,,45,no,21570,NULL
5096,Roy/Weber County,,,50,no,20730,NULL
5097,Roy/West Haven/Weber County,,,55,yes,22015,NULL
5098,Ogden/West Haven,,,55,no,22015,NULL
5099,Layton,,,40,no,19890,NULL
5100,Layton,,,40,no,39575,NULL
5101,Layton,,,40,no,39575,NULL
5103,Layton,,,40,no,24780,NULL
